写景,山水,黄河,励志,哲理 白日依山尽，黄河入海流。欲穷千里目，更上一层楼。
儿童 幼女才六岁，未知巧与拙。向夜在堂前，学人拜新月。
写景,抒情 风露湿行云，沙水迷归艇。卧看明河月满空，斗挂苍山顶。万古只青天，多事悲人境。起舞闻鸡酒未醒，潮落秋江冷。
婉约,山水 山绕平湖波撼城。湖光倒影浸山青。水晶楼下欲三更。雾柳暗时云度月，露荷翻处水流萤。萧萧散发到天明。
写景,抒情 清夜沉沉，暗蛩啼处檐花落。乍凉帘幕，香绕屏山角。堪恨归鸿，情似秋云薄。书难托，尽交寂寞，忘了前时约。
送别,友情 露坐榕阴须痛饮，从渠叠鼓频催。暮山新月两徘徊。离愁秋水远，醉眼晓帆开。泛宅浮家游戏去，流行坎止忘怀。江边鸥鹭莫相猜。上林消息好，鸿雁已归来。
写景 钓笠披云青嶂绕，绿蓑细雨春江渺。白鸟飞来风满棹。收纶了，渔童拍手樵青笑。明月太虚同一照，浮家泛宅忘昏晓。醉眼冷看城市闹。烟波老，谁能惹得闲烦恼。
春天,写景,哲理 应怜屐齿印苍苔，小扣柴扉久不开。春色满园关不住，一枝红杏出墙来。
写景,思念 萧萧梧叶送寒声，江上秋风动客情。知有儿童挑促织，夜深篱落一灯明。
战争 闻道黄龙戍，频年不解兵。可怜闺里月，长在汉家营。少妇今春意，良人昨夜情。谁能将旗鼓，一为取龙城。
写景,思乡 独游千里外，高卧七盘西。晓月临窗近，天河入户低。芳春平仲绿，清夜子规啼。浮客空留听，褒城闻曙鸡。
写景,抒情,思乡 天长地阔岭头分，去国离家见白云。洛浦风光何所似，崇山瘴疠不堪闻。南浮涨海人何处，北望衡阳雁几群。两地江山万余里，何时重谒圣明君。
写景 碧水澄潭映远空，紫云香驾御微风。汉家城阙疑天上，秦地山川似镜中。向浦回舟萍已绿，分林蔽殿槿初红。古来徒奏横汾曲，今日宸游圣藻雄。
爱国 芳菲歇，故园目断伤心切。伤心切，无边烟水，无穷山色。可堪更近乾龙节，眼中泪尽空啼血。空啼血，子规声外，晓风残月。
咏史怀古,爱国 江南江北雪漫漫，遥知易水寒。同云深处望三关，断肠山又山。天可老，海能翻，消除此恨难。频闻遣使问平安，几时鸾辂还？
春天,写景 公下世。此词，公之绝笔也斜红叠翠。何许花神来献瑞。粲粲裳衣。割得天孙锦一机。真香妙质。不耐世间风与日。着意遮围。莫放春光造次归。
写花,梅花,抒情 岁见梅追和一首，终恨有儿女子态耳竹里一枝梅，雨洗娟娟静。疑是佳人日暮来，绰约风前影。新恨有谁知，往事何堪省。梦绕阳台寂寞回，沾袖余香冷。
写人 疏星淡月秋千院，愁云恨雨芙蓉面。伤情燕足留红线，恼人鸾影闲团扇。兽炉沉水烟，翠沼残花片。一行写入相思传。
春天 黄莺乱啼门外柳，雨细清明后。能消几日春，又是相思瘦。梨花小窗人病酒。
秋天 为谁忙，莫非命。西风驿马。落月书灯。青天蜀道难，红叶吴江冷。两字功名频看镜，不饶人白发星星。钓鱼子陵，思莼季鹰，笑我飘零。
冬天,写雪,写景 梅花浑似真真面，留我倚阑杆。雪晴天气，松腰玉瘦，泉眼冰寒。兴亡遗恨，一丘黄土，千古青山。老僧同醉，残碑休打，宝剑羞看。
写雨 篷窗风急雨丝丝，闷捻吟髭。淮阳西望路何之？无一个鳞鸿至，把酒问篙师。迎头便说兵戈事。风流再莫追思，塌了酒楼，焚了茶肆，柳营花市，更呼甚燕子莺儿！
思念 一城秋雨豆花凉，闲倚平山望。不似年时鉴湖上，锦云香，采莲人语荷花荡。西风雁行，清溪渔唱，吹恨入沧浪。
写景,送别,抒情 红蕉隐隐窗纱，朱帘小小人家曲，绿柳匆匆去马。断桥西下，满湖烟雨愁花。
写水,抒情 江水澄澄江月明，江上何人搊玉筝？隔江和泪听，满江长叹声。
抒情 百年浑似醉，满怀都是春。高卧东山一片云。嗔，是非拂面尘，消磨尽，古今无限人。
写景 蕊珠宫，蓬莱洞。青松影里，红藕香中。千机云锦重，一片银河冻。缥缈佳人双飞凤，紫萧寒月满长空。阑干晚风，菱歌上下，渔火西东。
写景,抒情 古苔苍，题痕旧。疏花照水，老叶沉沟。蜂黄点绣屏，蝶粉沾罗袖。困倚东风垂杨瘦，翠眉攒似带春愁。寻村问酒，无人倚楼，有树维舟。
抒情 山藏白虎云藏寺，池上老梅枝。洞庭归兴，香柑红树，鲈鲙银丝。白家池馆，吴宫花草，可似当时。最怜人处，啼乌夜月，犹怨西施。
春天,思念 小楼还被青山碍，隔断楚天遥。昨宵入梦，那人如玉，何处吹箫？门前朝暮，无情秋月，有信春潮。看看憔悴，飞花心事，残柳眉梢。
写景,抒情 云冉冉，草纤纤，谁家隐居山半崦。水烟寒，溪路险。半幅青帘，五里桃花店。
写景,写雪,抒情 断塘流水洗凝脂，早起索吟诗。何处觅西施？垂杨柳萧萧鬓丝。银匙藻井，粉香梅圃，万瓦玉参差。一曲乐天词，富贵似吴王在时。
秋天,写景,思乡 西风信来家万里，问我归期未？雁啼红叶天，人醉黄花地，芭蕉雨声秋梦里。
写景 倚苍云绀宇峥嵘，有听法神龙，渡水胡僧。人立冰壶，诗留玉带，塔语金铃。摇碎月中流树影，撼崩崖半夜江声。误汲南冷，笑杀吴侬，不记茶经。
闺怨 堆枕乌云堕翠翘。午梦惊回，满眼春娇。嬛嬛一袅楚宫腰。那更春来，玉减香消。柳下朱门傍小桥。几度红窗，误认鸣镳。断肠风月可怜宵。忍使恹恹，两处无聊。
写人 村姑儿，红袖衣，初发黄梅插秧时，双双女伴随。长歌诗，短歌诗，歌里真情恨别离，休言伊不知。
思念 天。休使圆蟾照客眠。人何在，桂影自婵娟。
山水 清溪深不测，隐处唯孤云。松际露微月，清光犹为君。茅亭宿花影，药院滋苔纹。余亦谢时去，西山鸾鹤群。
写景 雨歇杨林东渡头，永和三日荡轻舟。故人家在桃花岸，直到门前溪水流。
春天,写景 菀菀黄柳丝，濛濛杂花垂。日高红妆卧，倚对春光迟。宁知傍淇水，騕褭黄金羁。翳翳陌上桑，南枝交北堂。美人金梯出，素手自提筐。非但畏蚕饥，盈盈娇路傍。
春天,写景,送别 花映垂杨汉水清，微风林里一枝轻。即今江北还如此，愁杀江南离别情。
婉约 谁道闲情抛掷久？每到春来，惆怅还依旧。日日花前常病酒，敢辞镜里朱颜瘦。河畔青芜堤上柳，为问新愁，何事年年有？独立小桥风满袖，平林新月人归后。
婉约 春日宴，绿酒一杯歌一遍。再拜陈三愿：一愿郎君千岁，二愿妾身常健，三愿如同梁上燕，岁岁长相见。
闺怨 几日行云何处去？忘却归来，不道春将暮。百草千花寒食路，香车系在谁家树？泪眼倚楼频独语。双燕来时，陌上相逢否？撩乱春愁如柳絮，依依梦里无寻处。
婉约,思念 花前失却游春侣，独自寻芳。满目悲凉。纵有笙歌亦断肠。林间戏蝶帘间燕，各自双双。忍②更思量，绿树青苔半夕阳。
写花,梅花 梅落繁枝千万片，犹自多情，学雪随风转。昨夜笙歌容易散，酒醒添得愁无限。楼上春山寒四面，过尽征鸿，暮景烟深浅。一晌凭栏人不见，鲛绡掩泪思量遍。
秋天,闺怨 回廊远砌生秋草，梦魂千里青门道。鹦鹉怨长更，碧笼金锁横。罗帏中夜起，霜月清如水。玉露不成圆，宝筝悲断弦。
抒情 谁道闲情抛掷久。每到春来，惆怅还依旧。日日花前常病酒，敢辞镜里朱颜瘦。河畔青芜堤上柳。为问新愁，何事年年有。独立小桥风满袖，平林新月人归后。
闺怨,爱情 萧索清秋珠泪坠，枕簟微凉，展转浑无寐。残酒欲醒中夜起，月明如练天如水。阶下寒声啼络纬，庭树金风，悄悄重门闭。可惜旧欢携手地，思量一夕成憔悴。
写景,抒情 冷红飘起桃花片，青春意绪阑珊。画楼帘幕卷轻寒，酒馀人散去，独自倚阑干。夕阳千里连芳草，萋萋愁煞王孙。徘徊飞尽碧天云，凤笙何处，明月照黄昏。
爱情 尘拂玉台鸾镜，凤髻不堪重整。绡帐泣流苏，愁掩玉屏人静。多病，多病，自是行云无定。
抒情 窗外寒鸡天欲曙，香印成灰，坐起浑无绪。庭际高梧凝宿雾，卷帘双鹊惊飞去。屏上罗衣闲绣缕，一饷关情，忆遍江南路。夜夜梦魂休谩语，已知前事无寻处。
爱情 春风拂拂横秋水，掩映遥相对。只知长作碧窗期，谁信东风吹散彩云飞。银屏梦与飞鸾远，只有珠帘卷。杨花零落月溶溶，尘掩玉筝弦柱画堂空。
咏物,荷花,抒情 浮香绕曲岸，圆影覆华池。常恐秋风早，飘零君不知。
梅花,边塞 梅岭花初发，天山雪未开。雪处疑花满，花边似雪回。因风入舞袖，杂粉向妆台。匈奴几万里，春至不知来。
送别 关山客子路，花柳帝王城。此中一分手，相顾怜无声。
爱国,战争 将军出紫塞，冒顿在乌贪。笳喧雁门北，阵翼龙城南。雕弓夜宛转，铁骑晓参驔。应须驻白日，为待战方酣。
边塞 虏骑三秋入，关云万里平。雪似胡沙暗，冰如汉月明。高阙银为阙，长城玉作城。节旄零落尽，天子不知名。
离别 地道巴陵北，天山弱水东。相看万馀里，共倚一征蓬。零雨悲王粲，清尊别孔融。裴回闻夜鹤，怅望待秋鸿。骨肉胡秦外，风尘关塞中。唯馀剑锋在，耿耿气成虹。
婉约,咏物,梅花,抒情 茅舍疏篱。半飘残雪，斜卧低枝。可更相宜，烟笼修竹，月在寒溪。宁宁伫立移时。判瘦损、无妨为伊。谁赋才情，画成幽思，写入新诗。
婉约,闺怨,秋天,思念 秋来愁更深，黛拂双蛾浅。翠袖怯春寒，修竹萧萧晚。此意有谁知，恨与孤鸿远。小立背西风，又是重门掩。
婉约,思念 落日斜，秋风冷。今夜故人来不来，教人立尽梧桐影。
写景,思乡 清溪咽。霜风洗出山头月。山头月。迎得云归，还送云别。不知今是何时节。凌歊望断音尘绝。音尘绝。帆来帆去，天际双阙。
写景 偶向凌歊台上望，春光已过三分。江山重叠倍销魂。风花飞有态，烟絮坠无痕。已是年来伤感甚，那堪旧恨仍存。清愁满眼共谁论。却应台下草，不解忆王孙。
写山,抒情 五云深处蓬山杳。寒轻雾重银蟾小。枕上挹余香。春风归路长。雁来书不到。人静重门悄。一阵落花风。云山千万重。
冬天,咏物 殷忧不能寐，苦此夜难颓。明月照积雪，朔风劲且哀。运往无淹物，年逝觉已催。
写景 山行非有期，弥远不能辍。但欲掩昏旦，遂复经圆缺。扪壁窥龙池，攀枝瞰乳穴。积峡忽复启，平途俄已绝。峦垅有合沓，往来无踪辙。昼夜蔽日月，冬夏共霜雪。
写景,抒情 朝搴苑中兰，畏彼霜下歇。暝还云际宿，弄此石上月。鸟鸣识夜栖，木落知风发。异音同致听，殊响俱清越。妙物莫为赏，芳醑谁与伐？美人竟不来，阳阿徒晞发。
写景,思念 枫叶千枝复万枝，江桥掩映暮帆迟。忆君心似西江水，日夜东流无歇时。
爱情,哲理 羞日遮罗袖，愁春懒起妆。易求无价宝，难得有心郎。枕上潜垂泪，花间暗断肠。自能窥宋玉，何必恨王昌？
柳树,写景,抒情 翠色连荒岸，烟姿入远楼。影铺秋水面，花落钓人头。根老藏鱼窟，枝低系客舟。萧萧风雨夜，惊梦复添愁。
思念 苦思搜诗灯下吟，不眠长夜怕寒衾。满庭木叶愁风起，透幌纱窗惜月沈。疏散未闲终遂愿，盛衰空见本来心。幽栖莫定梧桐处，暮雀啾啾空绕林。
咏物,写花 临风兴叹落花频，芳意潜消又一春。应为价高人不问，却缘香甚蝶难亲。红英只称生宫里，翠叶那堪染路尘。及至移根上林苑，王孙方恨买无因。
爱情 江南江北愁望，相思相忆空吟。鸳鸯暖卧沙浦，鸂鶒闲飞橘林。烟里歌声隐隐，渡头月色沉沉。含情咫尺千里，况听家家远砧。
爱情 无限荷香染暑衣，阮郎何处弄船归。自惭不及鸳鸯侣，犹得双双近钓矶。
边塞,写人,爱国 躞蹀青骊马，往战城南畿。五历鱼丽阵，三入九重围。名慑武安将，血污秦王衣。为君意气重，无功终不归。
豪放,边塞,战争 葡萄美酒夜光杯，欲饮琵琶马上催。醉卧沙场君莫笑，古来征战几人回？
边塞,思乡 葡萄美酒夜光杯，欲饮琵琶马上催。醉卧沙场君莫笑，古来征战几人回?秦中花鸟已应阑，塞外风沙犹自寒。夜听胡笳折杨柳，教人意气忆长安。
婉约,离别 一点残红欲尽时。乍凉秋气满屏帏。梧桐叶上三更雨，叶叶声声是别离。调宝瑟，拨金猊。那时同唱鹧鸪词。如今风雨西楼夜，不听清歌也泪垂。
送别 江北上归舟，再见江南岸。江北江南几度秋，梦里朱颜换。人是岭头云，聚散天谁管。君似孤云何处归，我似离群雁。
离别 记得武陵相见日，六年往事堪惊。回头双鬓已星星。谁知江上酒，还与故人倾。铁马红旗寒日暮，使君犹寄边城。只愁飞诏下青冥。不应霜塞晚，横槊看诗成。
写景,思乡 江天云薄，江头雪似杨花落。寒灯不管人离索。照得人来，真个睡不著。归期已负梅花约，又还春动空飘泊。晓寒谁看伊梳掠。雪满西楼，人阑干角。
写景 野径深藏隐者家，岸沙分路带溪斜。马蹄残雪六七里，山嘴有梅三四花。黄叶拥篱埋药草，青灯煨芋话桑麻。一生烟雨蓬茅底，不梦金貂侍玉华。
月亮 无云世界秋三五，共看蟾盘上海涯。直到天头天尽处，不曾私照一人家。
忧国忧民 泽国江山入战图，生民何计乐樵苏。凭君莫话封侯事，一将功成万骨枯。
春天,写景,哲理 诗家清景在新春，绿柳才黄半未匀。若待上林花似锦，出门俱是看花人。
婉约,咏物,写景 槐阴别院宜清昼，入座春风秀。美人图子阿谁留。都是宣和名笔，内家收。莺莺燕燕分飞后，粉淡梨花瘦。只除苏小不风流。斜插一枝萱草，凤钗头。
秋天,写景,思乡 凉叶萧萧散雨声，虚堂淅淅掩霜清。黄华自与西风约，白发先从远客生。吟似候虫秋更苦，梦和寒鹊夜频惊。何时石岭关山路，一望家山眼暂明？
写景,抒情 岭水争分路转迷，桄榔椰叶暗蛮溪。愁冲毒雾逢蛇草，畏落沙虫避燕泥。五月畲田收火米，三更津吏报潮鸡。不堪肠断思乡处，红槿花中越鸟啼。
写人 内宫传诏问戎机，载笔金銮夜始归。万户千门皆寂寂，月中清露点朝衣。
边塞,写景 边兵春尽回，独上单于台。白日地中出，黄河天外来。沙翻痕似浪，风急响疑雷。欲向阴关度，阴关晓不开。
战争,写景 兵罢淮边客路通，乱鸦来去噪寒空。可怜白骨攒孤冢，尽为将军觅战功。
抒情 宰嚭亡吴国，西施陷恶名。浣纱春水急，似有不平声。
写景,抒情 篱外谁家不系船，春风吹入钓鱼湾。小童疑是有村客，急向柴门去却关。
写景,抒情,夏天,咏物,写雨 回塘雨脚如缫丝，野禽不起沈鱼飞。耕蓑钓笠取未暇，秋田有望从淋漓。坐看黑云衔猛雨，喷洒前山此独晴。忽惊云雨在头上，却是山前晚照明。
儿童 牧竖持蓑笠，逢人气傲然。卧牛吹短笛，耕却傍溪田。
忧国忧民 雨足高田白，披蓑半夜耕。人牛力俱尽，东方殊未明。
写景 物外真何事，幽廊步不穷。一灯心法在，三世影堂空。山果青苔上，寒蝉落叶中。归来还闭阁，棠树几秋风。
秋天 右职移青绶，雄藩拜紫泥。江回玉垒下，气爽锦城西。皋鹤惊秋律，琴乌怨夜啼。离居同舍念，宿昔奉金闺。
离别,写人 玉颜红烛忽惊春，微步凌波暗拂尘。自是当歌敛眉黛，不因惆怅为行人。
写景,抒情 玉华寒，冰壶冻。云间玉兔，水面苍龙。酒一樽，琴三弄。唤起凌波仙人梦，倚阑干满面天风。楼台远近，乾坤表里，江汉西东。
忧国忧民 中原邈邈路何长，文物衣冠天一方。独有孤臣挥血泪，更无奇杰叫天阊。关河夜月冰霜重，宫殿春风草木荒。犹耿孤忠思报主，插天剑气夜光芒。
离别,思念 泛菊杯深，吹梅角远，同在京城。聚散匆匆，云边孤雁，水上浮萍。教人怎不伤情。觉几度、魂飞梦惊。后夜相思，尘随马去，月逐舟行。
婉约,爱情,惜时 宝髻偏宜宫样，莲脸嫩，体红香。眉黛不须张敞画，天教入鬓长。莫倚倾国貌，嫁取个，有情郎。彼此当年少，莫负好时光。
写人 夫子何为者，栖栖一代中。地犹鄹氏邑，宅即鲁王宫。叹凤嗟身否，伤麟怨道穷。今看两楹奠，当与梦时同。
写景 剑阁横云峻，銮舆出狩回。翠屏千仞合，丹嶂五丁开。灌木萦旗转，仙云拂马来。乘时方在德，嗟尔勒铭才。
爱国 昨夜蕃兵报国仇，沙州都护破凉州。黄河九曲今归汉，塞外纵横战血流。
写景,抒情 重岗如抱岳如蹲，屈曲秦川势自尊。天地并功开帝宅，山河相凑束龙门。橹声呕轧中流度，柳色微茫远岸村。满眼波涛终古事，年来惆怅与谁论。
婉约 不是爱风尘，似被前缘误。花落花开自有时，总赖东君主。去也终须去，住也如何住！若得山花插满头，莫问奴归处。
写花 道是梨花不是。道是杏花不是。白白与红红，别是东风情味。曾记，曾记。人在武陵微醉。
写景,爱情 碧梧初出，桂花才吐，池上水花微谢。穿针人在合欢楼，正月露、玉盘高泻。蛛忙鹊懒，耕慵织倦，空做古今佳话。人间刚道隔年期，指天上、方才隔夜。
写景,写水,思乡 江路西南永，归流东北骛。天际识归舟，云中辨江树。旅思倦摇摇，孤游昔已屡。既欢怀禄情，复协沧洲趣。嚣尘自兹隔，赏心于此遇。虽无玄豹姿，终隐南山雾。
咏物,梅花 新叶初冉冉，初蕊新霏霏。逢君后园讌，相随巧笑归。亲劳君玉指，摘以赠南威。用持插云髻，翡翠比光辉。日暮长零落，君恩不可追。
抒情 夕殿下珠帘，流萤飞复息。长夜缝罗衣，思君此何极。
咏物,咏史怀古 穗帷飘井干，樽酒若平生。郁郁西陵树，讵闻歌吹声。芳襟染泪迹，婵媛空复情。玉座犹寂寞，况乃妾身轻。
离别 高馆临荒途，清川带长陌。上有流思人，怀旧望归客。塘边草杂红，树际花犹白。日暮有重城，何由尽离席！
送别,抒情 洞庭张乐地，潇湘帝子游。云去苍梧野，水还江汉流。停骖我怅望，辍棹子夷犹。广平听方籍，茂陵将见求。心事俱己矣，江上徒离忧。
山水,写景 徘徊恋京邑，踯躅躧曾阿。陵高墀阙近，眺迥风云多。荆吴阻山岫，江海含澜波。归飞无羽翼，其如别离何。
婉约 闲院宇。独自行来行去。花片无声帘外雨。峭寒生碧树。做弄清明时序。料理春酲情绪。忆得归时停棹处。画桥看落絮。
写人,抒情 霅溪湾里钓鱼翁，舴艋为家西复东。江上雪，浦边风，笑着荷衣不叹穷。
写景 城里夕阳城外雪，相将十里异阴晴。也知造物曾何意，底事人心苦未平。柏府楼台衔倒影，茅茨松竹泻寒声。布衾莫谩愁僵卧，积素还多达曙明。
写山,爱国 晓披烟雾入青峦，山寺疏钟万木寒。千古河流成沃野，几年沙势自风湍。水穿石甲龙鳞动，日绕峰头佛顶宽。宫阙五云天北极，高秋更上九霄看。
抒情,哲理 险夷原不滞胸中，何异浮云过太空？夜静海涛三万里，月明飞锡下天风。
哲理 泻水置平地，各自东西南北流。人生亦有命，安能行叹复坐愁？酌酒以自宽，举杯断绝歌路难。心非木石岂无感？吞声踯躅不敢言。
惜时 奉君金卮之美酒，玳瑁玉匣之雕琴。七彩芙蓉之羽帐，九华蒲萄之锦衾。红颜零落岁将暮，寒光宛转时欲沉。愿君裁悲且减思，听我抵节行路吟。不见柏梁铜雀上，宁闻古时清吹音？
抒情 轻鸿戏江潭，孤雁集洲沚。邂逅两相亲，缘念共无已。风雨好东西，一隔顿万里。追忆栖宿时，声容满心耳。落日川渚寒，愁云绕天起。短翮不能翔，徘徊烟雾里。
冬天,写雪 胡风吹朔雪，千里度龙山。集君瑶台上，飞舞两楹前。兹晨自为美，当避艳阳天。艳阳桃李节，皎洁不成妍。
写景 浓似春云淡似烟，参差绿到大江边。斜阳流水推篷坐，翠色随人欲上船。
夏天,写景 绿树阴浓夏日长，楼台倒影入池塘。水晶帘动微风起，满架蔷薇一院香。
写鸟,抒情 林中有奇鸟，自言是凤凰。清朝饮醴泉，日夕栖山冈。高鸣彻九州，延颈望八荒。适逢商风起，羽翼自摧藏。一去昆仑西，何时复回翔。但恨处非位，怆悢使心伤。
抒情 息徒兰圃，秣马华山。流磻平皋，垂纶长川。目送归鸿，手挥五弦。俯仰自得，游心太玄。嘉彼钓叟，得鱼忘筌。郢人逝矣，谁与尽言？
婉约 樽前一曲歌，歌里千重意。才欲歌时泪已流，恨应更、多于泪。试问缘何事？不语如痴醉。我亦情多不忍闻，怕和我、成憔悴。
离别 觥船相对百分空，京口追随似梦中。落纸云烟君似旧，盈巾霜雪我成翁。春来茗叶还争白，腊尽梅梢尽放红。领略溪山须妙语，小迂旌节上凌风。
写景 别业居幽处，到来生隐心。南山当户牖，沣水映园林。屋覆经冬雪，庭昏未夕阴。寥寥人境外，闲坐听春禽。
冬天,梅花 万籁寂无声。衾铁稜稜近五更。香断灯昏吟未稳，凄清。只有霜华伴月明。应是夜寒凝。恼得梅花睡不成。我念梅花花念我，关情。起看清冰满玉瓶。
婉约 珠帘寂寂。愁背银缸泣。记得少年初选入。三十六宫第一。当年掌上承恩。而今冷落长门。又是羊车过也，月明花落黄昏。
婉约 青林雨歇，珠帘风细，人在绿阴庭院。夜来能有几多寒，已瘦了、梨花一半。宝钗无据，玉琴难托，合造一襟幽怨。云窗雾阁事茫茫，试与问、可杏双燕。
婉约,秋天 西风半夜惊罗扇。蛩声入梦传幽怨。碧藕试初凉。露痕啼粉香。清冰凝簟竹。不许双鸳宿。又是五更钟。鸦啼金井桐。
春天,思乡 独有宦游人，偏惊物候新。云霞出海曙，梅柳渡江春。淑气催黄鸟，晴光转绿蘋。忽闻歌古调，归思欲沾巾。
秋天 行止皆无地，招寻独有君。酒中堪累月，身外即浮云。露白宵钟彻，风清晓漏闻。坐携馀兴往，还似未离群。
写景 共有樽中好，言寻谷口来。薜萝山径入，荷芰水亭开。日气含残雨，云阴送晚雷。洛阳钟鼓至，车马系迟回。
写山 溪上遥闻精舍钟，泊舟微径度深松。青山霁后云犹在，画出东南四五峰。
送别,战争 双旌汉飞将，万里授横戈。春色临边尽，黄云出塞多。鼓鼙悲绝漠，烽戍隔长河。莫断阴山路，天骄已请和。
冬天,写景,抒情 村映寒原日已斜，烟生密竹早归鸦。长溪南路当群岫，半景东邻照数家。门通小径连芳草，马饮春泉踏浅沙。欲待主人林上月，还思潘岳县中花。
月亮 昨夜山月好，故人果相思。清光到枕上，袅袅凉风时。永意能在我，惜无携手期。
婉约,秋天,写景 萋萋芳草小楼西，云压雁声低。两行疏柳，一丝残照，万点鸦栖。春山碧树秋重绿，人在武陵溪。无情明月，有情归梦，同到幽闺。
婉约,写景 一抹斜阳沙觜，几点闲鸥草际，乌榜小渔舟，摇过半江秋水。风起，风起，棹入白苹花里。
婉约,咏物,写花 春阴漠漠。海棠花底东风恶。人情不似春情薄。守定花枝，不放花零落。绿尊细细供春酌。酒醒无奈愁如昨。殷勤待与东风约。莫苦吹花，何似吹愁却。
婉约,春天,咏物 露堤平，烟墅杳。乱碧萋萋，雨后江天晓。独有庾郎年最少。窣地春袍，嫩色宜相照。接长亭，迷远道。堪怨王孙，不记归期早。落尽梨花春又了。满地残阳，翠色和烟老。
写景,抒情 春昼自阴阴，云容薄更深。蝶寒方敛翅，花冷不开心。亚树青帘动，依山片雨临。未尝辜景物，多病不能寻。
悼亡,思念 秋至捣罗纨，泪满未能开。风光肃入户，月华为谁来？结眉向蛛网，沥思视青苔。鬓局将成葆，带减不须摧。我心若涵烟，葐蒀满中怀。
送别,思念,友情 丹阳郭里送行舟，一别心知两地秋。日晚江南望江北，寒鸦飞尽水悠悠。
婉约,春天,写景 帘漏滴，却是春归消息。带雨牡丹无气力，黄鹂愁雨湿。争着洛阳春色，忘却连天草碧。南浦绿波双桨急，沙头人伫立。
秋天,写景,思乡 马穿山径菊初黄，信马悠悠野兴长。万壑有声含晚籁，数峰无语立斜阳。棠梨叶落胭脂色，荞麦花开白雪香。何事吟余忽惆怅，村桥原树似吾乡。
咏物 两株桃杏映篱斜，妆点商州副使家。何事春风容不得？和莺吹折数枝花。
写景,抒情 两株桃杏映篱斜，妆点商山副使家。何事春风容不得，和莺吹折数枝花。春云如兽复如禽，日照风吹浅又深。谁道无心便容与，亦同翻覆小人心。
抒情 日长何计到黄昏，郡僻官闲昼掩门。子美集开诗世界，伯阳书见道根源。风飘北院花千片，月上东楼酒一罇。不是同年来主郡，此心牢落共谁论。
写景,抒情 苇篷疏薄漏斜阳，半日孤吟未过江。唯有鹭鹚知我意，时时翘足对船窗。
咏物 谁种萧萧数百竿？伴吟偏称作闲官。不随夭艳争春色，独守孤贞待岁寒。声拂琴床生雅趣，影侵棋局助清欢。明年纵便量移去，犹得今冬雪里看！
抒情 闲思蓬岛会群仙，二百同年最少年。利市襴衫抛白紵，风流名纸写红牋。歌楼夜宴停银烛，柳巷春泥污锦鞯。今日折腰尘土里，共君追想好凄然。
写景 湘山晴色远微微，尽日江头独醉归。不见两关传露布，尚闻三殿未垂衣。边筹自古无中下，朝论于今有是非。日暮平沙秋草乱，一双白鸟避人飞。
婉约,春天 豆蔻梢头春色浅，新试纱衣，拂袖东风软。红日三竿帘幕卷，画楼影里双飞燕。拢鬓步摇青玉碾，缺样花枝，叶叶蜂儿颤。独倚阑干凝望远，一川烟草平如剪。
写景 柳絮风轻，梨花雨细。春阴院落帘垂地。碧溪影里小桥横，青帘市上孤烟起。镜约关情，琴心破睡。轻寒漠漠侵鸳被。酒醒霞散脸边红，梦回山蹙眉间翠。
春天,闺怨 暄风迟日春光闹。蒲萄水绿摇轻棹。两岸草烟低。青山啼子规。归来愁未寝。黛浅眉痕沁。花影转廊腰。红添酒面潮。
离别 青锦缠条佩剑，紫丝络辔飞骢。入关意气喜生风。年少胸吞云梦。金阙日高露泣，东华尘软香红。争看荀氏第三龙。春暖桃花浪涌。
咏物,爱国 耕犁千亩实千箱，力尽筋疲谁复伤？但得众生皆得饱，不辞羸病卧残阳。
秋天,写风 秋风起兮白云飞，草木黄落兮雁南归。兰有秀兮菊有芳，怀佳人兮不能忘。泛楼船兮济汾河，横中流兮扬素波。箫鼓鸣兮发棹歌，欢乐极兮哀情多。少壮几时兮奈老何！
写马 太一况，天马下，沾赤汗，沫流赭。志俶傥，精权奇，籋浮云，晻上驰。体容与，迣万里，今安匹，龙为友。
抒情 罗袂兮无声，玉墀兮尘生。虚房冷而寂寞，落叶依于重扃。望彼美之女兮，安得感余心之未宁？
离别,爱国 三年羁旅客，今日又南冠。无限山河泪，谁言天地宽！已知泉路近，欲别故乡难。毅魄归来日，灵旗空际看。
婉约,闺怨,思念 秋色到空闺，夜扫梧桐叶。谁料同心结不成，翻就相思结。十二玉阑干，风动灯明灭。立尽黄昏泪几行，一片鸦啼月。
离别 翠绡心事，红楼欢宴，深夜沈沈无暑。竹边荷外再相逢，又还是、浮云飞去。锦笺尚湿，珠香未歇，空惹闲愁千缕。寻思不似鹊桥人，犹自得、一年一度。
写景,思乡 远游越山川，山川修且广。振策陟崇丘，安辔遵平莽。夕息抱影寐，朝徂衔思往。顿辔倚嵩岩，侧听悲风响。清露坠素辉，明月一何朗。抚枕不能寐，振衣独长想。
咏物,梅花 一树寒梅白玉条，迥临村路傍溪桥。不知近水花先发，疑是经冬雪未销。
友情,哲理 世人结交须黄金，黄金不多交不深。纵令然诺暂相许，终是悠悠行路心。
秋天,写景,抒情,思乡 八月洞庭秋，潇湘水北流。还家万里梦，为客五更愁。不用开书帙，偏宜上酒楼。故人京洛满，何日复同游。
抒情 石城依旧空江国，故宫春色。七尺青丝芳草碧，绝世难得。玉英凋落尽，更何人识？野棠如织，只是教人添怨忆，怅望无极。
